test01,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
7,23,0.596,1.033,0.586,0.875,0.655,1.031,0.567,0.957,0.858,1.061,0.796,2.923,0.875,1.064,0.786,2.414
10,23,0.626,1.04,0.593,1.09,0.664,1.032,0.587,1.322,0.761,1.027,0.803,4.333,0.865,1.048,0.811,3.293
13,23,0.738,1.056,0.671,1.484,0.738,1.047,0.595,1.264,0.86,1.063,0.805,3.863,0.88,1.066,0.817,3.719
16,23,0.75,1.062,0.67,1.638,0.775,1.048,0.651,1.667,0.806,1.05,0.787,4.898,0.86,1.055,0.809,4.691
test24,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,24,0.282,1.005,0.37,0.217,0.262,1.004,0.361,0.247,0.302,1.102,0.297,0.801,0.302,1.102,0.297,0.801
4,24,0.25,0.973,0.403,0.403,0.259,0.969,0.439,0.49,0.304,1.108,0.286,9.946,0.304,1.108,0.286,9.994
7,24,0.253,0.972,0.446,0.603,0.242,0.975,0.414,0.626,0.247,0.961,0.401,0.7,0.288,0.978,0.383,2.395
10,24,0.24,0.967,0.421,0.759,0.243,0.977,0.399,0.827,0.194,0.921,0.426,3.997,0.184,0.907,0.528,4.145
13,24,0.244,0.975,0.378,1.182,0.247,0.982,0.419,1.05,0.189,0.913,0.436,4.139,0.18,0.904,0.406,4.368
16,24,0.233,0.974,0.396,1.207,0.236,0.983,0.375,1.541,0.194,0.897,0.424,4.956,0.176,0.904,0.424,5.007
test25,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,25,0.466,1.053,0.445,0.221,0.466,1.057,0.446,0.21,0.559,1.127,0.414,6.258,0.559,1.127,0.414,6.507
4,25,0.519,1.034,0.545,0.555,0.425,1.021,0.57,0.55,0.796,1.122,0.606,8.53,0.796,1.122,0.606,7.441
7,25,0.557,1.042,0.546,0.855,0.455,1.023,0.531,0.806,0.895,1.059,0.816,2.829,0.916,1.078,0.772,2.85
10,25,0.634,1.048,0.574,1.073,0.501,1.032,0.533,1.049,0.921,1.054,0.803,6.034,0.999,1.065,0.817,3.331
13,25,0.639,1.054,0.593,1.184,0.579,1.044,0.574,1.392,0.92,1.071,0.803,3.708,1,1.069,0.809,3.68
16,25,0.708,1.06,0.596,1.58,0.626,1.055,0.549,1.442,0.92,1.063,0.797,4.362,0.984,1.076,0.799,4.305
test26,,,,,,,,,,,,,,,,,
,,IMGM-D,,,,IMGM-R,,,,CR-D,,,,CR-R,,,
grh#, itr#, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time, acc,  score, consis, time
1,26,0.794,1.052,0.614,0.369,0.812,1.063,0.627,0.339,0.956,1.106,0.768,4.745,0.956,1.106,0.768,4.748
4,26,0.84,1.06,0.699,0.485,0.72,1.049,0.586,0.474,0.995,1.114,0.772,5.933,0.995,1.114,0.772,5.885
7,26,0.826,1.058,0.696,0.595,0.746,1.049,0.641,0.698,0.994,1.064,0.803,2.626,0.999,1.074,0.824,2.648
10,26,0.803,1.057,0.651,0.985,0.773,1.055,0.622,0.962,0.99,1.06,0.809,3.061,0.981,1.062,0.824,3.044
